typeNameIndex,cityGuid,classCount,teacher,student
0,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","5","21","150"
0,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","20","64","600"
0,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","6","30","180"
0,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","13","50","398"
0,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","16","60","466"
0,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","18","61","600"
0,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","15","75","500"
0,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","15","68","612"
0,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","20","80","800"
0,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","12","54","410"
0,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","13","58","465"
0,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","16","67","500"
0,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","12","51","379"
0,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","9","37","270"
0,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","5","24","172"
0,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","15","49","544"
0,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","30","121","880"
0,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","15","63","465"
0,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","8","36","294"
0,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","17","85","502"
0,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","14","62","380"
0,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","15","37","486"
0,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","17","43","670"
0,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","8","34","270"
0,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","24","100","700"
0,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","11","36","330"
0,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","15","49","544"
0,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","11","31","320"
1,"DLAF12AE1F-84A2-4276-98CD-3A2AA1AE7DA8","12","37","341"
4,"QZ-B2D32841-1911-4BC0-9A8E-062EA525A097","28","106",784
4,"e0e14063-7d4c-4032-869b-5c399761f0e4","36","120",864
0,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","11","51","330"
0,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","22","100","800"
0,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","9","34","346"
0,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","13","50","500"
0,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","12","30","400"
0,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","15","50","500"
0,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","10","40","300"
0,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","15","64","434"
0,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","15","37","486"
0,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","8","32","248"
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","29","93",580
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","29","105",1015
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","32","145",1152
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","20","86","811"
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","20","69","709"
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","33","121","1299"
0,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","15","49","560"
0,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","16","37","455"
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","21","73","598"
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","31","120","1000"
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","26","60","747"
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","38","124","1500"
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","22","72","714"
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","28","100",672
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","31","102",1085
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","28","147",1008
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","40","184","1625"
0,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","8","33","308"
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","21","97","778"
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","13","47","300"
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","29","91",1073
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","13","47","300"
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","21","66","682"
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","28","147",980
0,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","10","40","370"
0,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","23","35","605"
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","29","68","1100"
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","33","130",1056
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","19","73","703"
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","32","98","1248"
0,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","24","90","600"
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","23","67","723"
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","15","47","435"
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","24","73","600"
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","20","71","550"
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","34","112",1224
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","20","72",440
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","20","85","595"
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","34","127","1200"
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","24","77","890"
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","40","130","1500"
0,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","13","54","373"
0,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","24","90","600"
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","18","75","600"
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","21","98","623"
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","22","82",638
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","23","78",736
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","20","79",500
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","13","49","400"
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","15","39","450"
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","22","60","808"
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","42","126","1700"
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","29","85","1015"
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","30","86","1100"
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","30","80","729"
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","24","69","650"
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","70","250",1820
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","42","142",1050
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","17","70",459
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","17","48","668"
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","23","91",575
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","30","137","1200"
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","33","130",1287
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","15","50",585
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","33","130",891
0,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","24","90","600"
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","36","98","1240"
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","14","46","400"
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","15","39","450"
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","22","60","808"
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","36","146",1368
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","20","73","807"
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","20","80",700
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","21","92","788"
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","15","64","551"
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","28","103",700
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","26","75","944"
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","20","68","776"
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","15","50","550"
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","24","80",648
0,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","12","27","400"
0,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","13","54","373"
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","11","30","282"
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","15","43","500"
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","21","50","800"
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","23","66","880"
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","18","43","540"
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","15","43","480"
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","30","136","1226"
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","14","52",406
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","38","122",1368
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","29","110",667
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","15","47","435"
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","21","59","600"
0,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","6","28","195"
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","10","32","321"
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","35","85","1109"
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","10","30","300"
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","13","49","400"
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","11","30","282"
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","10","30","300"
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","12","46","355"
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","13","38","309"
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","33","130",825
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","31","97",651
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","37","96",1073
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","26","62","934"
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","26","62","934"
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","30","114",690
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","37","96",1073
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","30","92",600
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","30","112",690
