typeNameIndex,cityGuid,totalArea,classCount,teacher,student
0,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","483","5","21","150"
0,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","4796","20","64","600"
0,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","1768","6","30","180"
0,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","7991.3","13","50","398"
0,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","6893","16","60","466"
0,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","14007","18","61","600"
0,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","5086","15","75","500"
0,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","9004","15","68","612"
0,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","7702","20","80","800"
0,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","5300","12","54","410"
0,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","8843","13","58","465"
0,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","7311","16","67","500"
0,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","6815","12","51","379"
0,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","936","9","37","270"
0,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","6282","5","24","172"
0,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","3224.94","15","49","544"
0,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","24679","30","121","880"
0,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","9004.5","15","63","465"
0,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","2002","8","36","294"
0,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","8107","17","85","502"
0,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","7637","14","62","380"
0,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","3212","15","37","486"
0,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","6661","17","43","670"
0,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","2531","8","34","270"
0,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","10804","24","100","700"
0,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","3398","11","36","330"
0,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","3224.94","15","49","544"
0,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","4068.7","11","31","320"
1,"DLAF12AE1F-84A2-4276-98CD-3A2AA1AE7DA8","8235","12","37","341"
4,"QZ-B2D32841-1911-4BC0-9A8E-062EA525A097","15429","28","106",784
4,"e0e14063-7d4c-4032-869b-5c399761f0e4","55361","36","120",864
0,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","5518","11","51","330"
0,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","7702","22","100","800"
0,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","5542","9","34","346"
0,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","8690","13","50","500"
0,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","2286","12","30","400"
0,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","6600","15","50","500"
0,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","4798","10","40","300"
0,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","4646","15","64","434"
0,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","3212","15","37","486"
0,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","1710","8","32","248"
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","15741.2","29","93",580
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","21700","29","105",1015
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","19983","32","145",1152
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","18676","20","86","811"
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","12054","20","69","709"
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","36975","33","121","1299"
0,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","8757","15","49","560"
0,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","4910","16","37","455"
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","3001.5","21","73","598"
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","5359","31","120","1000"
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","7","26","60","747"
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","19009.5","38","124","1500"
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","17505","22","72","714"
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","15741.2","28","100",672
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","22045","31","102",1085
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","16675","28","147",1008
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","36818.4","40","184","1625"
0,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","5560","8","33","308"
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","2920","21","97","778"
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","2744","13","47","300"
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","13340","29","91",1073
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","2744","13","47","300"
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","7200","21","66","682"
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","16675","28","147",980
0,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","3973","10","40","370"
0,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","2241","23","35","605"
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","10137.6","29","68","1100"
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","4103","33","130",1056
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","750","19","73","703"
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","8667","32","98","1248"
0,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","8195","24","90","600"
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","9586","23","67","723"
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","6748","15","47","435"
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","7800","24","73","600"
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","5933","20","71","550"
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","33600","34","112",1224
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","13300","20","72",440
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","14840","20","85","595"
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","7780","34","127","1200"
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","8667","24","77","890"
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","14000","40","130","1500"
0,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","6400","13","54","373"
0,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","8195","24","90","600"
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","32549.6","18","75","600"
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","19225","21","98","623"
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","20439","22","82",638
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","7780","23","78",736
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","7000","20","79",500
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","3604","13","49","400"
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","7321","15","39","450"
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","12000","22","60","808"
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","8836","42","126","1700"
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","5009","29","85","1015"
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","5415","30","86","1100"
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","7208","30","80","729"
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","8280","24","69","650"
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","50694","70","250",1820
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","32683","42","142",1050
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","8278","17","70",459
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","5774886","17","48","668"
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","10900","23","91",575
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","10270","30","137","1200"
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","4103","33","130",1287
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","8000","15","50",585
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","4103","33","130",891
0,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","8195","24","90","600"
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","25346","36","98","1240"
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","3601.8","14","46","400"
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","7321","15","39","450"
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","12000","22","60","808"
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","6368","36","146",1368
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","15527","20","73","807"
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","20000","20","80",700
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","15013","21","92","788"
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","13588","15","64","551"
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","7752","28","103",700
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","22011","26","75","944"
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","8000","20","68","776"
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","5920","15","50","550"
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","8506","24","80",648
0,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","7197","12","27","400"
